securityCode,securityName,scale,trackingIndex,trackIndex
512220.SH,TMTETF景顺,845216811.6,科技传媒通信150,h30318.CSI
159695.SZ,通信ETF嘉实,841284311.806,国证通信,399389.SZ
510410.SH,资源ETF博时,840013027.2,上证资源,000068.SH
159387.SZ,创业板新能源ETF国泰,838314046.768,创新能源,399266.SZ
588830.SH,科创新能源ETF鹏华,807479544.7,科创新能,000692.SH
516520.SH,智能驾驶ETF华泰柏瑞,804468823.5,CS智汽车,930721.CSI
159903.SZ,深成ETF南方,778011872.183,深证成指,399001.SZ
563380.SH,航空航天ETF华泰柏瑞,769388850,全指航空,932088.CSI
159887.SZ,银行ETF富国,762659587.7,800银行,h30022.CSI
515260.SH,电子ETF华宝,734759729.6,电子50,931461.CSI
159909.SZ,TMT50ETF招商,701007139.4,TMT50,399610.SZ
512330.SH,信息科技ETF南方,684127584,500信息,h30257.CSI
159378.SZ,通用航空ETF永赢,678614680.224,通用航空,980076.CNI
560120.SH,中证500现金流ETF华夏,675651154,500现金流,932367.CSI
159745.SZ,建材ETF国泰,667791209.535,建筑材料,931009.CSI
159996.SZ,家电ETF国泰,654052552.244,家用电器,930697.CSI
517900.SH,银行AH优选ETF招商,620917808,银行AH,931039.CSI
515150.SH,一带一路ETF富国,617192553.6,国企一带一路,000859.CSI
512090.SH,MSCIA股ETF易方达,614148423.3,MSCI中国A股国际通实时(人民币),716567.CSI
512580.SH,环保ETF广发,609690092.7,中证环保,000827.SH
520870.SH,巴西ETF易方达,599176574.8,巴西IBOVESPA指数,IBOVESPA.GI
512190.SH,浙商之江凤凰ETF,592282440,凤凰50,930758.CSI
159707.SZ,地产ETF华宝,590637769.502,800地产,399965.SZ
159546.SZ,集成电路ETF国泰,582693917.694,集成电路,932087.CSI
588770.SH,科创信息ETF摩根,576766232.1,科创信息,000682.SH
159606.SZ,中证500成长ETF易方达,561900831.3,500质量成长,930939.CSI
159107.SZ,创业板软件ETF富国,561240794.38,创业软件,399264.SZ
560700.SH,央企红利ETF广发,552407944.2,央企股东回报,932039.CSI
158023.SZ,红利低波ETF万家,533949577.165,800红利低波,931848.CSI
515750.SH,科技50ETF富国,533345562,中证科技,931186.CSI
159569.SZ,港股红利低波ETF景顺,528509634.303,港股通红利低波,987016.CNI
560170.SH,央企科技ETF南方,500967357,央企科技引领,932038.CSI
516460.SH,现金流ETF800鹏华,499014977,800现金流,932368.CSI
515950.SH,医药50ETF富国,495836153.8,医药50,931140.CSI
520560.SH,香港大盘30ETF华宝,481683267,恒生中国(香港上市)30指数,HSFML25.HI
513220.SH,中概互联ETF招商,472687366,全球中国互联网,930796.CSI
159366.SZ,港股医疗ETF永赢,465402951.264,港股通医疗主题,932069.CSI
159628.SZ,国证2000ETF万家,464864266.75,国证2000,399303.SZ
588130.SH,科创医药ETF华夏,460865939.2,科创生物,000683.SH
159109.SZ,恒生50ETF景顺,444856591.638,恒生港股通50,HSSC50.HI
562310.SH,沪深300成长ETF银华,434901481.2,300成长,000918.CSI
510630.SH,消费ETF华夏,432471669.5,上证消费,000036.SH
510170.SH,大宗商品ETF国联安,423060809.6,上证商品,000066.SH
562570.SH,信创ETF华夏,421602573,中证信创,931247.CSI
515580.SH,科技100ETF华泰柏瑞,410158641.2,科技100,931187.CSI
560210.SH,农牧渔ETF景顺,404299782,农牧渔,930910.CSI
159336.SZ,央企红利ETF融通,392724209.8,诚通央企红利,931132.CSI
159768.SZ,房地产ETF银华,383427587.151,内地地产,000948.CSI
563700.SH,红利价值ETF易方达,374677050,红利价值,h30270.CSI
520610.SH,港股红利低波ETF银华,372857849,标普港股通低波红利指数(港币),SPAHLVHP.SPI
159973.SZ,民企ETF弘毅远方,369556429.704,民企100,399362.SZ
159814.SZ,创业大盘ETF西部利得,366253550.08,创业大盘,399293.SZ
159511.SZ,通信ETF南方,356339203.85,800通信,000936.CSI
589600.SH,科创综指ETF富国,353413345,科创价格,000681.SH
159940.SZ,金融地产ETF广发,350918819.362,全指金融,000992.SH
512120.SH,医药ETF华安,350774306.4,细分医药,000814.SH
562000.SH,A100ETF华宝,348529885.2,中证A100,000903.SH
562990.SH,碳中和ETF易方达,344513472,SEEE碳中和,931755.CSI
560800.SH,数字经济ETF鹏扬,342844107.3,数字经济,931582.CSI
159902.SZ,中小100ETF华夏,340026585.594,中小100,399005.SZ
159966.SZ,创业板价值ETF华夏,338738152.357,创价值,399295.SZ
563960.SH,300质量ETF兴全,327845208,300质量,932431.CSI
159843.SZ,食品饮料ETF招商,321343769.589,国证食品,399396.SZ
159172.SZ,养殖ETF汇添富,318896801.069,畜牧养殖,931946.CSI
159726.SZ,港股通红利ETF华夏,316863717.48,恒生中国内地企业高股息率指数,HSMCHYI.HI
159170.SZ,港股通互联网ETF永赢,314019792.456,港股通互联网,987022.CNI
