name,tracking,assetSize
生物医药ETF(512290),中证生物医药指数,32.43
成渝经济圈ETF博时(159623),中证成渝地区双城经济圈成份指数,31.9
软件ETF(515230),中证全指软件指数,31.83
港股通医疗ETF富国(159506),恒生港股通创新药及医疗保健指数,31.38
创业板成长ETF(159967),创业板动量成长指数,31.06
沪港深300ETF国寿(517300),中证沪港深300指数,30.51
消费电子ETF(159732),国证消费电子主题指数,30.2
恒生消费ETF景顺(513970),恒生消费指数,29.35
港股创新药ETF景顺(513780),中证港股通创新药指数,28.83
红利国企ETF国泰(510720),上证国有企业红利指数,28.01
港股通50ETF(513550),中证港股通50港元指数,26.8
中证2000ETF(563300),中证2000指数,26.75
传媒ETF(512980),中证传媒指数,26.43
豆粕ETF(159985),大商所豆粕期货价格指数,26.09
半导体设备ETF(561980),中证半导体产业指数,25.43
港股通金融ETF(513190),中证港股通内地金融港元指数,25.39
标普A股红利ETF华宝(562060),中信标普中国A股红利机会指数,24.78
中药ETF(560080),中证中药指数,24.52
计算机ETF(159998),中证计算机主题指数,23.61
道琼斯ETF(513400),道琼斯工业平均指数,23.57
农业ETF(159825),中证农业主题指数,23.29
新能车ETF(515700),中证新能源汽车产业指数,22.8
标普生物科技ETF嘉实(159502),标普生物科技精选行业指数,22.12
价值100ETF(512040),中证国信价值指数,21.86
航空航天ETF(159227),国证航天航空行业指数,21.64
中证现金流ETF大成(159235),中证全指自由现金流指数,21.51
港股通创新药ETF(520880),恒生港股通创新药精选指数,21
高端装备ETF嘉实(159638),中证高端装备细分50指数,20.52
德国ETF嘉实(159561),法兰克福DAX指数,20.36
日经225ETF华安(513880),东京日经225指数,19.93
基建ETF广发(516970),中证基建工程指数,19.71
恒生创新药ETF(520500),恒生创新药指数,19.38
红利ETF工银(159905),深证红利指数,19.03
医药ETF(159929),中证医药卫生指数,18.66
港股通医药ETF易方达(513200),中证港股通医药卫生综合港元指数,17.97
消费ETF(510150),消费80,17.92
碳中和ETF(159790),中证内地低碳经济主题指数,17.7
美国50ETF易方达(513850),MSCI USA 50 Index,17.56
云计算ETF易方达(516510),中证云计算与大数据主题指数,17.44
长江保护ETF易方达(517330),中证长江保护主题指数,16.71
A500红利ETF(560570),中证A500红利低波动指数,16.57
医疗创新ETF(516820),中证医药及医疗器械创新指数,16.06
科创综指ETF易方达(589800),上证科创板综合指数,16.01
日本东证指数ETF南方(513800),东证指数,15.95
能源化工ETF建信(159981),易盛郑商所能源化工指数A,15.95
卫星ETF招商(159218),中证卫星产业指数,15.31
纳指生物科技ETF汇添富(513290),纳斯达克生物科技指数,15.11
港股科技50ETF招商(159750),中证香港科技指数指数,14.96
船舶ETF(560710),中证智选船舶产业指数,14.87
家电ETF(159996),中证全指家用电器指数,14.51
芯片ETF富国(516640),中证芯片产业指数,13.94
绿色电力ETF嘉实(159625),国证绿色电力指数,13.8
银行ETF(159887),中证800银行指数,13.54
创新药ETF天弘(517380),恒生沪深港创新药精选50指数,13.52
央企科技ETF南方(560170),中证国新央企科技引领指数,13.46
云计算ETF汇添富(159273),中证沪港深云计算产业人民币指数,13.46
科创创业人工智能ETF易方达(159140),中证科创创业人工智能指数,13.34
电子ETF(159997),中证电子指数,13.3
沙特ETF南方(159329),富时沙特阿拉伯指数,13.22
东南亚科技ETF(513730),新交所泛东南亚科技指数,12.95
价值ETF易方达(159263),国证价值100指数,12.91
通信设备ETF(159583),中证通信设备主题指数,12.78
红利质量ETF(159758),中证红利质量指数,12.75
环保ETF(512580),中证环保产业指数,12.73
信息技术ETF(159939),中证全指信息技术指数,12.66
标普油气ETF嘉实(159518),S&P Oil & Gas Exploration & Production Select Industry,12.43
矿业ETF(561330),中证有色金属矿业主题指数,12.3
生物科技ETF易方达(159837),中证生物科技主题指数,12.24
300质量ETF兴全(563960),沪深300质量指数,11.59
科创新能源ETF(588830),上证科创板新能源主题指数,11.55
大数据ETF(515400),中证大数据产业指数,11.31
消费电子ETF易方达(562950),中证消费电子主题指数,11.08
银行AH优选ETF(517900),中证银行AH价格优选人民币指数,11.03
法国ETF华安(513080),法国CAC40指数,10.3
央企红利ETF华泰柏瑞(561580),中证中央企业红利指数,10.21
科创200ETF易方达(588270),上证科创板200指数,9.54
亚太精选ETF南方(159687),富时亚太低碳精选指数,9.46
工业母机ETF(159667),中证机床指数,9.3
300现金流ETF(562080),沪深300自由现金流指数,9.25
证券ETF东财(159692),中证证券公司30指数,9.24
央企ESGETF融通(560810),中证诚通央企ESG指数,8.97
标普消费ETF(159529),标普500消费精选指数,8.92
科技ETF易方达(159807),中证科技50指数,8.92
有色ETF鹏华(159880),国证有色金属行业指数,8.83
工程机械ETF(560280),中证工程机械主题指数,8.74
成长ETF易方达(159259),国证成长100指数,8.61
有色ETF华宝(159876),中证有色金属指数,8.47
港股通消费ETF易方达(513070),中证港股通消费主题港元指数,8.24
一带一路ETF富国(515150),中证国企一带一路指数,8.19
香港大盘30ETF(520560),恒生中国(香港上市)30指数,8.12
科创成长ETF易方达(588020),上证科创板成长指数,7.87
通用航空ETF(159378),国证通用航空产业指数,7.56
沪深300成长ETF银华(562310),沪深300成长指数,7.48
创新药ETF东财(159622),中证沪港深创新药产业人民币指数,7.43
科技50ETF(515750),中证科技50策略指数,7.43
科创芯片设计ETF(588780),上证科创板芯片设计主题指数,7.39
港股通消费ETF汇添富(159268),国证港股通消费主题指数,7.29
电力ETF华宝(159146),中证全指电力与电网指数,7.19
国证2000ETF万家(159628),国证2000指数,7.13
科创创新药ETF国泰(589720),上证科创板创新药指数,7.01
中证红利质量ETF(159209),中证全指红利质量指数,6.85
央企红利ETF融通(159336),中证诚通央企红利指数,6.83
智能汽车ETF(515250),中证智能汽车主题指数,6.8
上证380ETF易方达(530380),上证380,6.78
创业板新能源ETF华夏(159368),创业板新能源指数,6.76
MSCIA股ETF易方达(512090),MSCI中国A股国际通指数,6.67
资源ETF博时(510410),上证资源,6.64
金融地产ETF(159940),中证全指金融地产指数,6.55
港股通50ETF摩根(520950),恒生港股通50指数,6.45
上证580ETF华夏(530530),上证580指数,6.45
中小100ETF华夏(159902),中小企业100指数,6.36
碳中和ETF易方达(562990),中证上海环交所碳中和指数,6.34
公用事业ETF国投瑞银(159159),中证全指公用事业指数,6.32
800现金流ETF(563990),中证800自由现金流指数,6.24
TMT50ETF招商(159909),深证电子信息传媒产业50指数,6.21
数字经济ETF(560800),中证数字经济主题指数,6.19
工业软件ETF博时(159108),国证工业软件主题指数,6.13
建材ETF(159745),中证全指建筑材料指数,6.1
汽车ETF(516110),中证800汽车与零部件指数,5.92
信息科技ETF南方(512330),中证500信息技术指数,5.92
电子ETF(515260),中证电子50指数,5.88
红利价值ETF易方达(563700),中证红利价值指数,5.8
中证A100ETF基金(562000),中证A100指数,5.56
电网ETF(561380),恒生A股电网设备指数,5.52
TMTETF(512220),中证科技传媒通信150指数,5.5
港股汽车ETF(520600),中证港股通汽车产业主题指数,5.45
创业大盘ETF西部利得(159814),创业板大盘指数,5.2
证券保险ETF鹏华(515630),中证800证券保险指数,5.17
科技100ETF(515580),中证科技100指数,5.15
深成ETF南方(159903),深证成份指数(价格),4.99
港股通高股息ETF华夏(159726),恒生港股通中国内地企业高股息率指数,4.96
消费ETF华夏(510630),上证主要消费行业指数,4.95
800红利低波ETF鑫元(563980),中证800红利低波动指数,4.93
光伏龙头ETF广发(560980),中证光伏龙头30指数,4.81
500质量成长ETF(560500),中证500质量成长指数,4.75
央企红利ETF广发(560700),中证国新央企股东回报指数,4.75
港股红利低波ETF景顺(159569),国证港股通红利低波动率指数,4.66
医药龙头ETF(515950),中证医药50指数,4.58
高股息ETF(159207),中证智选高股息策略指数,4.57
科创综指ETF富国(589600),上证科创板综合价格指数,4.36
食品饮料ETF(159843),国证食品饮料行业指数,4.34
新能源ETF申万菱信(159752),中证内地新能源主题指数,4.33
能源ETF(159930),中证能源指数,4.27
创业板综ETF银华(159288),创业板综合指数,4.24
数字经济ETF嘉实(159389),中证诚通国企数字经济指数,4.2
创业板价值ETF(159966),创业板低波价值指数,4.2
信创ETF(562570),中证信息技术应用创新产业指数,4.2
港股通医疗ETF工银(159167),中证港股通医疗主题指数,4.08
中概互联ETF(513220),中证全球中国互联网人民币指数,4.04
创业板200ETF易方达(159572),创业板中盘200指数,3.95
沪深港科技50ETF交银(517950),中证智选沪深港科技50指数,3.92
新兴亚洲ETF招商(520580),iEdge Emerging Asia Select 50 Index,3.91
养殖ETF永赢(159165),中证畜牧养殖产业指数,3.86
汽车零部件ETF易方达(159565),中证汽车零部件主题指数,3.81
民企ETF弘毅远方(159973),国证民企领先100指数,3.81
教育ETF博时(513360),中证全球中国教育主题人民币指数,3.7
可选消费ETF(159936),中证全指可选消费指数,3.6
恒生央企ETF(513170),恒生中国央企指数,3.6
通信ETF嘉实(159695),国证通信指数,3.56
医药ETF华安(512120),细分医药,3.56
央企50ETF易方达(563060),中证国资央企50指数,3.56
科技成长ETF兴业(563560),中证科技优势成长50策略指数,3.5
房地产ETF银华(159768),中证内地地产主题指数,3.48
恒生港股通ETF汇添富(520820),恒指港股通指数,3.43
通用航空ETF(563320),中证通用航空主题指数,3.42
地产ETF(159707),中证800地产指数,3.23
大宗商品ETF(510170),上证商品,3.22
互联网ETF华泰柏瑞(517050),中证沪港深互联网人民币指数,3.2
化工ETF国泰(516220),中证细分化工产业主题全收益指数,3.14
人工智能50ETF(517800),中证沪港深人工智能50人民币指数,3.06
巴西ETF易方达(520870),巴西BOVESPA,3
绿电ETF(562550),中证绿色电力指数,2.84
基建ETF银华(516950),中证基建指数,2.83
食品ETF易方达(560160),中证全指食品指数,2.83
创业板成长ETF易方达(159597),创业板成长指数,2.8
基本面120ETF嘉实(159910),深证基本面120指数,2.79
碳中和50ETF国泰(159861),中证环保产业50指数,2.77
计算机ETF南方(159586),中证全指计算机指数,2.77
沪港深500ETF汇添富(517080),中证沪港深500人民币指数,2.69
基本面ETF建信(159916),深证基本面60指数,2.68
半导体ETF南方(159325),中证半导体行业精选指数,2.64
港股信息技术ETF(159131),中证港股通信息技术综合人民币指数,2.62
战略新兴ETF(512770),中国战略新兴产业成份指数,2.62
180治理ETF交银(510010),上证180公司治理指数,2.55
上证中盘ETF易方达(510130),上证中盘,2.55
富时A50ETF嘉实(512550),富时中国A50指数,2.55
石油ETF(561360),中证油气产业指数,2.55
新经济ETF银华(159822),标普中国新经济行业指数,2.53
科创医药ETF嘉实(588700),上证科创板生物医药指数,2.51
石化ETF(159731),中证石化产业指数,2.45
央企科创ETF融通(159335),中证诚通央企科技创新指数,2.42
创业板软件ETF富国(159107),创业板软件指数,2.38
科创新材料ETF博时(588010),上证科创板新材料指数,2.29
疫苗ETF嘉实(562860),中证疫苗与生物技术指数,2.28
中国国企ETF南方(517180),富时中国国企开放共赢指数,2.21
科创价值ETF建信(588910),上证智选科创板创新价值指数,2.17
质量ETF中金(515910),MSCI中国A股国际质量指数,2.16
港股通汽车ETF易方达(159121),恒生港股通汽车主题指数,2.15
智能制造ETF(516800),中证智能制造主题指数,2.14
科技ETF嘉实(515860),中证新兴科技100策略指数,2.13
深证50ETF富国(159350),深证50指数,2.12
科创信息ETF嘉实(588100),上证科创板新一代信息技术指数,2.11
集成电路ETF(159546),中证全指集成电路指数,2.11
石油ETF富国(159148),国证石油天然气指数,2.1
医药ETF嘉实(515960),中证嘉实医药健康质量成长100策略指数,2.04
产业升级ETF南方(510160),中证南方小康产业指数,2.04
平安MSCI低波ETF(512390),MSCI中国A股低波指数,2.04
大盘价值ETF博时(159391),国证大盘价值指数,2.03
港股通100ETF易方达(159788),中证港股通中国100港元指数,1.98
上证券商ETF汇安(510200),上证证券行业指数,1.94
创业板科技ETF华泰柏瑞(159773),创业板科技指数,1.83
VRETF(159786),中证虚拟现实主题指数,1.8
价值ETF(510030),上证180价值指数,1.78
消费龙头ETF(516130),中证消费龙头指数,1.76
深成长ETF大成(159906),深证成长40指数,1.76
食品饮料ETF华安(516900),食品饮料,1.75
农牧渔ETF(159275),中证全指农牧渔指数,1.73
浙商之江凤凰ETF(512190),中证浙江凤凰行动50指数,1.72
航空航天ETF(563380),中证全指航空航天指数,1.7
新材料ETF国泰(159761),中证新材料主题指数,1.64
沪深300红利ETF建信(512530),沪深300红利指数,1.63
高端制造ETF易方达(562910),中证装备产业指数,1.6
信创ETF易方达(159540),国证信息技术创新主题指数,1.6
300ESGETF(516830),沪深300ESG基准指数,1.59
